time,symbol,volume,open,high,low,last,change,percent,turnover_rate
2017-09-05,600519.SH,2262215,473.3533,474.4193,470.1072,470.5778,-2.3172,-0.49,0.18
2017-09-06,600519.SH,3300650,470.5874,473.2476,465.6318,465.7662,-4.7998,-1.02,0.26
2017-09-07,600519.SH,3332016,466.0832,467.6102,461.0412,462.2032,-3.5396,-0.76,0.27
2017-09-08,600519.SH,4117327,459.3029,461.4637,455.2212,455.5766,-6.6093,-1.43,0.33
2017-09-11,600519.SH,4537440,452.4265,463.1156,451.3605,459.3701,3.7814,0.83,0.36
2017-09-12,600519.SH,3434163,460.5034,466.7458,459.4469,465.699,6.3392,1.38,0.27
2017-09-13,600519.SH,3307570,465.7855,472.7002,462.3089,472.1528,6.4729,1.39,0.26
2017-09-14,600519.SH,1939949,473.4589,474.4577,469.6174,471.2692,-0.8971,-0.19,0.15
2017-09-15,600519.SH,1603946,472.9883,472.9883,468.6666,470.4337,-0.8483,-0.18,0.13
2017-09-18,600519.SH,4220681,470.7218,480.6714,470.7218,479.202,8.7504,1.86,0.34
2017-09-19,600519.SH,2305481,480.4793,482.5921,476.3593,477.262,-1.9167,-0.4,0.18
2017-09-20,600519.SH,1731816,477.214,480.2104,476.3497,476.5417,-0.7159,-0.15,0.14
2017-09-21,600519.SH,1940268,476.292,480.7482,473.3533,479.0099,2.478,0.52,0.15
2017-09-22,600519.SH,1634353,477.214,480.3641,476.1576,480.124,1.1018,0.23,0.13
2017-09-25,600519.SH,3269756,480.4889,488.0663,480.4793,487.1444,7.01,1.46,0.26
2017-09-26,600519.SH,2547049,486.6162,489.795,483.6486,489.1131,1.9487,0.4,0.2
2017-09-27,600519.SH,1667111,488.7578,490.7842,486.0207,488.0759,-1.0271,-0.21,0.13
2017-09-28,600519.SH,2596985,487.1059,499.5909,487.0579,497.9199,9.8588,2.02,0.21
2017-09-29,600519.SH,2243622,495.5573,505.0459,495.0771,497.1323,-0.7967,-0.16,0.18
2017-10-09,600519.SH,3489129,503.759,514.3328,499.4949,506.861,9.7435,1.96,0.28
2017-10-10,600519.SH,3100644,506.1695,519.0771,506.1311,518.6641,11.8097,2.33,0.25
2017-10-11,600519.SH,3340643,516.7818,529.4108,516.7818,523.927,5.2388,1.01,0.27
2017-10-12,600519.SH,1964622,523.4084,525.8094,518.7794,522.5345,-1.4147,-0.27,0.16
2017-10-13,600519.SH,2785842,523.4084,534.5488,520.5369,534.1167,11.5999,2.22,0.22
2017-10-16,600519.SH,2990901,537.8045,544.2103,533.8478,538.4768,4.3796,0.82,0.24
2017-10-17,600519.SH,2097712,538.7457,538.7457,532.0518,534.6737,-3.8233,-0.71,0.17
2017-10-18,600519.SH,1917865,532.2439,540.3015,532.2439,538.5056,3.8495,0.72,0.15
2017-10-19,600519.SH,4065882,538.7745,561.9678,538.5056,559.5188,21.0021,3.9,0.32
2017-10-20,600519.SH,3153433,557.9822,557.9822,549.1082,551.5764,-7.9452,-1.42,0.25
2017-10-23,600519.SH,2377182,552.143,557.502,545.4972,550.6929,-0.8825,-0.16,0.19
2017-10-24,600519.SH,3127428,549.3387,551.0674,541.2811,544.8537,-5.8373,-1.06,0.25
2017-10-25,600519.SH,2507600,547.1779,549.0314,539.7925,543.2595,-1.58,-0.29,0.2
2017-10-26,600519.SH,11543497,581.0313,588.7144,568.4599,581.1178,37.8647,6.97,0.92
2017-10-27,600519.SH,8438379,578.2558,629.0505,576.2582,623.8932,42.7706,7.36,0.67
2017-10-30,600519.SH,8100786,617.5739,618.4863,596.3975,597.4347,-26.4528,-4.24,0.64
2017-10-31,600519.SH,5187568,597.3674,602.736,587.6388,593.5451,-3.8833,-0.65,0.41
2017-11-01,600519.SH,4343525,596.2822,606.5199,594.688,598.3278,4.8075,0.81,0.35
2017-11-02,600519.SH,3424973,602.1117,604.8296,596.3975,602.0829,3.7694,0.63,0.27
2017-11-03,600519.SH,4818897,603.7444,617.9484,603.7444,613.8476,11.7411,1.95,0.38
2017-11-06,600519.SH,4851398,616.0853,631.5667,614.8368,627.1873,13.3209,2.17,0.39
2017-11-07,600519.SH,5556485,624.8056,631.1153,612.8968,616.6327,-10.5364,-1.68,0.44
2017-11-08,600519.SH,4395194,616.8824,628.5703,616.8824,624.6135,7.9549,1.29,0.35
2017-11-09,600519.SH,3364113,622.3278,628.2341,619.0721,624.3158,-0.3123,-0.05,0.27
2017-11-10,600519.SH,7407860,624.6615,656.3253,624.6615,651.0912,26.7828,4.29,0.59
2017-11-13,600519.SH,4986984,653.06,665.3337,649.0264,660.6278,9.5064,1.46,0.4
2017-11-14,600519.SH,4636671,659.9172,659.994,650.515,651.8595,-8.7866,-1.33,0.37
2017-11-15,600519.SH,4503633,651.8595,662.6542,647.2977,660.8199,8.9309,1.37,0.36
2017-11-16,600519.SH,6071632,658.8319,691.4369,658.8319,690.6206,29.8029,4.51,0.48
2017-11-17,600519.SH,12386124,668.4261,680.9111,650.9184,662.9039,-27.6929,-4.01,0.99
2017-11-20,600519.SH,8830582,649.9868,658.4382,633.8524,652.2437,-10.673,-1.61,0.7
2017-11-21,600519.SH,9601651,642.4958,661.5114,635.7923,650.419,-1.8263,-0.28,0.76
2017-11-22,600519.SH,12849826,650.1789,660.7431,624.2485,624.7479,-25.6924,-3.95,1.02
2017-11-23,600519.SH,10959913,616.5655,620.407,605.2522,608.6231,-16.1183,-2.58,0.87
