"地区编码",单位名称,邮政编码,详细地址,评估定级情况,总藏量,电子图书,书架单层总长度,本年新增藏量,本年新增电子图书,当年购买的报刊种类,有效借书证数,总流通人次,书刊文献外借册次,计算机,图书馆网站访问量,实际使用公用房屋建筑面积,实际拥有产权面积,阅览室坐席数,联系电话,组织机构代码,年份
330303,温州市龙湾区图书馆,325058,温州市龙湾区永中街道龙康路89号,一级馆,0.0,511404.0,1399998.0,8864.0,57283.0,9003.0,465.0,37178.0,1394302.0,578009.0,99.0,255154.0,12145.0,0.0,964,86968257,2018
330881,江山市图书馆,324100,江山市江路18－2号,二级馆,272674.0,7400.0,4600.0,24114.0,6400.0,365.0,14888.0,361527.0,335384.0,54.0,0.0,2007.0,0.0,208.0,4020711,472061995,2017
330226,宁海县图书馆,315600,宁海县桃源街道桃源北路9号,一级馆,0.0,460850.0,1025000.0,5540.0,27628.0,0.0,465.0,32063.0,238750.0,609955.0,94.0,24230.0,5000.0,5000.0,420,83556058,2018
330199,杭州图书馆,310016,杭州市解放东路58号,一级馆,4830619.0,205969.0,58508.0,154323.0,0.0,3935.0,8751208.0,3725729.0,2396620.0,482.0,1011858.0,49088.0,5228.0,2392.0,86535018,470115232,2016
330799,金华市少儿童图书馆,321000,金华市婺江东路238号,二级馆,320633.0,1503.0,525.0,47746.0,0.0,655.0,19900.0,238000.0,262000.0,92.0,40000.0,3700.0,0.0,80.0,82325322,471543159,2016
330803,衢江区图书馆,324022,衢江区东方广场四楼衢江区图书馆,二级馆,173126.0,0.0,2438.0,41137.0,0.0,156.0,4163.0,309463.0,113503.0,46.0,0.0,1600.0,1600.0,220.0,2291507,003308502,2017
330206,宁波市北仑区图书馆,315800,宁波市北仑区中河南路288号,一级馆,0.0,760080.0,2004800.0,56355.0,38429.0,0.0,953.0,51599.0,922500.0,1618658.0,90.0,80508.0,16610.0,16610.0,800,86781983,2018
331181,龙泉市图书馆,323700,龙泉市贤良路人民广场内,一级馆,0.0,230027.0,4604200.0,1786.0,10831.0,1500.0,299.0,10407.0,352420.0,150763.0,110.0,6103.0,5444.0,3678.0,400,7128713,2018
330301,温州市图书馆,325000,温州市市府路506号,一级馆,0.0,3110069.0,2390479.0,75600.0,235166.0,14600.0,2018.0,342506.0,2738709.0,2079322.0,419.0,1189788.0,36170.0,32000.0,2443,88957525,2018
330185,临安市图书馆,311300,临安市锦城街道城中街261号,一级馆,584720.0,190000.0,6574.0,60687.0,50000.0,895.0,41904.0,553786.0,525084.0,78.0,27151.0,8051.0,8051.0,488.0,63722018,470361943,2016
330784,永康市图书馆,321300,永康市紫微中路138号,一级馆,0.0,496879.0,1005000.0,870.0,26873.0,0.0,741.0,27936.0,386542.0,329511.0,72.0,14546.0,8453.0,8453.0,241,87135370,2018
330902,定海区图书馆,316000,定海区环城西路98号,一级馆,213890.0,7943.0,7100.0,15926.0,0.0,753.0,78150.0,404019.0,474356.0,67.0,25384.0,2800.0,3630.0,330.0,2600303,05955194X,2016
330302,鹿城区图书馆,325000,浙江省温州市鹿城区鞋都大道1130号,无等级馆,1026094.0,208750.0,2111.0,31110.0,0.0,334.0,25889.0,795704.0,248768.0,58.0,7226.0,5916.0,5533.0,410.0,55577826,677227098,2017
331082,临海市图书馆,317000,临海市东湖路35号,一级馆,434661.0,0.0,2778.0,44359.0,45652.0,478.0,19037.0,2281500.0,301660.0,46.0,223000.0,3500.0,3500.0,300.0,85111366,728441861,2016
330203,宁波市海曙区图书馆,315000,宁波市海曙区沁园街345号海曙区文体中心一层,一级馆,199235.0,40000.0,2211.0,24954.0,5000.0,337.0,11841.0,365892.0,562249.0,62.0,2300.0,2200.0,5400.0,348.0,87122351,775639379,2016
330621,绍兴市柯桥区图书馆,312030,绍兴市柯桥区明珠路396号,一级馆,501488.0,77624.0,6128.0,60197.0,4000.0,1478.0,63518.0,807157.0,372198.0,114.0,51417.0,9646.0,4800.0,1126.0,85282968,DJ1235235,2017
330382,乐清市图书馆,325600,乐清市乐成镇南大街109号,一级馆,0.0,793705.0,1350000.0,6000.0,88117.0,100000.0,1433.0,67658.0,2345000.0,1184837.0,122.0,37111.0,32630.0,0.0,3000,62526562,2018
330183,富阳区图书馆,311400,浙江省富阳市富春街道富春路3号,一级馆,495280.0,9541000.0,1600.0,27171.0,35000.0,745.0,621510.0,357650.0,1063000.0,84.0,88141.0,3550.0,3550.0,466.0,63323974,47033331X,2017
330727,磐安县图书馆,322300,磐安县海螺街43号,一级馆,202074.0,7026.0,5182.0,30467.0,0.0,233.0,8815.0,39991.0,73425.0,37.0,12000.0,3036.0,3036.0,200.0,84661410,471710658,2016
330922,嵊泗县图书馆,202450,嵊泗县菜园镇望海路393号,二级馆,125478.0,2826.0,3722.0,8210.0,652.0,409.0,3329.0,31155.0,63900.0,48.0,9423.0,3700.0,0.0,152.0,5089148,472230736,2016
330302,鹿城区图书馆,325000,浙江省温州市鹿城区鞋都大道1130号,无等级馆,0.0,1050763.0,208750.0,2111.0,24669.0,0.0,292.0,34175.0,941827.0,290433.0,58.0,6930.0,8877.0,5533.0,410,55577826,2018
330381,瑞安市图书馆,325200,瑞安市安阳罗阳大道瑞安广场东首,一级馆,896511.0,1413000.0,0.0,110123.0,13000.0,1754.0,115621.0,1452925.0,1033699.0,160.0,88590.0,14872.0,12172.0,480.0,66886991,470869229,2017
330211,镇海区图书馆,315200,镇海区骆驼街道民和路802号,一级馆,0.0,582262.0,17908.0,6000.0,24164.0,0.0,765.0,30740.0,810834.0,920732.0,140.0,0.0,9000.0,9000.0,400,55886562,2018
330822,常山县图书馆,324200,常山县天马街道人民路119号,二级馆,295432.0,1000000.0,547.0,9281.0,996700.0,400.0,3973.0,103000.0,84560.0,92.0,0.0,2741.0,0.0,208.0,5017364,471971815,2017
330424,张元济图书馆,314300,海盐县武原镇文昌东路6号,一级馆,751641.0,1000000.0,8313.0,38488.0,120000.0,853.0,51370.0,1855000.0,755040.0,140.0,253665.0,11843.0,10743.0,750.0,86023951,47103029X,2017
330304,瓯海区图书馆,325000,娄桥行政中心3号楼4楼,三级馆,416613.0,300000.0,0.0,144076.0,0.0,664.0,29688.0,1124000.0,394501.0,111.0,80314.0,29000.0,0.0,877.0,88521692,E94886050,2016
331021,玉环县图书馆,317600,浙江台州玉环玉城街道城关广陵路69号,二级馆,740478.0,100000.0,4351.0,400210.0,50000.0,0.0,445140.0,821034.0,770216.0,49.0,39328.0,1848.0,1215.0,302.0,87221558,472840024,2017
330781,兰溪市图书馆,321100,浙江省兰溪市李渔路180号,一级馆,257807.0,27570.0,5116.0,18131.0,1954.0,547.0,79749.0,202857.0,142857.0,55.0,40566.0,5553.0,5553.0,284.0,88895607,TJ0781038,2016
339900,浙江图书馆,310007,杭州曙光路73号,一级馆,6485355.0,1606546.0,62322.0,246537.0,210396.0,8397.0,64740.0,2590263.0,1421892.0,540.0,3.1811739E7,54500.0,49242.0,1570.0,87988591,470049722,2016
330101,杭州少年儿童图书馆,310000,杭州市曙光路75号,一级馆,0.0,1372241.0,1212729.0,5369.0,70965.0,200000.0,524.0,40505.0,501160.0,975173.0,92.0,6568630.0,6003.0,5695.0,557,86535018,2018
330185,临安市图书馆,311300,临安市锦城街道城中街261号,一级馆,712535.0,340000.0,6574.0,68034.0,50000.0,935.0,53066.0,566391.0,506907.0,78.0,17779.0,8051.0,8051.0,500.0,63722018,470361943,2017
